LoanMode,Day,Grade,Stars,Money,Customers,MaxCustomers,基本集客度,広告ブースト,集客度上限,Revenue,Rent,StaffCount,StaffCost,LoanRepayment,Ad,Items,TotalExpenses,NetProfit,TodayReview,CumulativeReview,UpgradeCost,Upgraded,Borrowed
WithLoan,1,1,2,1177,6,13,59,5,100,477,0,1,300,0,0,110,300,177,289,289,5000,,
WithLoan,2,1,3,1460,8,13,69,5,100,583,0,1,300,0,0,145,300,283,416,705,5000,,
WithLoan,3,1,4,2022,9,13,77,4,100,962,100,1,300,0,0,190,400,562,395,1100,5000,,
WithLoan,4,1,5,2818,11,13,87,8,100,1096,0,1,300,0,0,220,300,796,569,1669,5000,Yes,10000
WithLoan,5,2,6,5472,11,27,103,20,250,1454,0,5,750,2050,1000,255,3800,-2346,460,2129,20000,,
WithLoan,6,2,7,4163,13,27,121,19,250,1781,300,5,750,2040,0,295,3090,-1309,600,2729,20000,,
WithLoan,7,2,7,3734,14,27,136,15,250,2351,0,5,750,2030,0,370,2780,-429,525,3254,20000,,
WithLoan,8,2,8,3506,16,27,150,14,250,2542,0,5,750,2020,0,385,2770,-228,585,3839,20000,,
WithLoan,9,2,8,2907,17,27,162,11,250,2461,300,5,750,2010,0,345,3060,-599,521,4360,20000,,
WithLoan,10,2,9,5246,18,27,176,7,250,3089,0,5,750,0,0,425,750,2339,651,5011,20000,,
WithLoan,11,2,10,7154,21,27,188,18,250,3658,0,5,750,0,1000,505,1750,1908,662,5673,20000,Yes,50000
WithLoan,12,3,11,33546,34,59,215,45,400,6842,800,7,1400,5250,3000,1050,10450,-3608,1542,7215,80000,,
WithLoan,13,3,11,35027,38,59,242,47,400,8106,0,7,1400,5225,0,1300,6625,1481,1770,8985,80000,,
WithLoan,14,3,12,37393,41,59,268,39,400,8966,0,7,1400,5200,0,1410,6600,2366,1825,10810,80000,,
WithLoan,15,3,13,39656,43,59,296,30,400,9638,800,7,1400,5175,0,1630,7375,2263,2019,12829,80000,,
WithLoan,16,3,14,42506,49,59,315,36,400,10400,0,7,1400,5150,1000,1565,7550,2850,1553,14382,80000,,
WithLoan,17,3,14,39625,56,59,332,70,400,11644,0,7,1400,5125,8000,2135,14525,-2881,1669,16051,80000,,
WithLoan,18,3,15,45112,59,59,350,67,400,12787,800,7,1400,5100,0,2505,7300,5487,1809,17860,80000,Yes,150000
WithLoan,19,4,16,107020,62,93,391,55,600,19933,0,9,2700,25325,0,3690,28025,-8092,3191,21051,250000,,
WithLoan,20,4,16,100912,67,93,431,48,600,21704,0,9,2700,25112,0,4250,27812,-6108,3378,24429,250000,,
WithLoan,21,4,17,84039,84,93,473,114,600,27227,1500,9,2700,24900,15000,4715,44100,-16873,4492,28921,250000,,
WithLoan,22,4,18,96761,91,93,513,117,600,36109,0,9,2700,19687,1000,6745,23387,12722,4595,33516,250000,,
WithLoan,23,4,19,104529,93,93,555,136,600,37968,0,9,2700,19500,8000,6395,30200,7768,4908,38424,250000,,
WithLoan,24,4,19,126946,93,93,585,118,600,45929,1500,9,2700,19312,0,8500,23512,22417,3545,41969,250000,,
WithLoan,25,4,20,147479,93,93,600,95,600,42358,0,9,2700,19125,0,6920,21825,20533,3033,45002,250000,Yes,500000
WithLoan,26,5,20,372869,120,129,654,152,800,70277,0,11,4950,74937,15000,11365,94887,-24610,6531,51533,800000,,
WithLoan,27,5,21,383976,127,129,707,139,800,76957,2500,11,4950,55400,3000,13370,65850,11107,6806,58339,800000,,
WithLoan,28,5,22,401498,129,129,758,131,800,78272,0,11,4950,54800,1000,13805,60750,17522,6696,65035,800000,,
WithLoan,29,5,22,423511,129,129,800,96,800,81163,0,11,4950,54200,0,13750,59150,22013,6964,71999,800000,,
WithLoan,30,5,23,439969,129,129,800,76,800,77508,2500,11,4950,53600,0,11595,61050,16458,6986,78985,800000,,
WithLoan,31,5,23,483319,129,129,800,56,800,101300,0,11,4950,53000,0,15110,57950,43350,7008,85993,800000,,
WithLoan,32,5,24,524305,129,129,800,6,800,98336,0,11,4950,52400,0,12965,57350,40986,6910,92903,800000,,
WithLoan,33,5,24,568920,129,129,800,8,800,103865,2500,11,4950,51800,0,12700,59250,44615,6877,99780,800000,,
WithLoan,34,5,24,616356,129,129,800,5,800,103586,0,11,4950,51200,0,13425,56150,47436,6912,106692,800000,,
WithLoan,35,5,25,665560,129,129,800,4,800,104754,0,11,4950,50600,0,14795,55550,49204,6849,113541,800000,Yes,2000000
WithLoan,36,6,25,1768457,163,214,869,118,1200,163997,4000,13,9100,230000,18000,18970,261100,-97103,9427,122968,2000000,,
WithLoan,37,6,26,1713384,175,214,938,115,1200,181027,0,13,9100,227000,0,22800,236100,-55073,10104,133072,2000000,,
WithLoan,38,6,26,1682950,184,214,1009,97,1200,202666,0,13,9100,224000,0,27215,233100,-30434,11023,144095,2000000,,
WithLoan,39,6,27,1663397,196,214,1081,94,1200,215547,4000,13,9100,221000,1000,29455,235100,-19553,11807,155902,2000000,,
WithLoan,40,6,27,1672192,205,214,1152,74,1200,235895,0,13,9100,218000,0,31310,227100,8795,12176,168078,2000000,,
WithLoan,41,6,27,1691966,213,214,1200,44,1200,243874,0,13,9100,215000,0,34970,224100,19774,12956,181034,2000000,,
WithLoan,42,6,28,1711348,214,214,1200,9,1200,244482,4000,13,9100,212000,0,35340,225100,19382,12796,193830,2000000,,
WithLoan,43,6,28,1770233,214,214,1200,6,1200,276985,0,13,9100,209000,0,33870,218100,58885,12473,206303,2000000,,
WithLoan,44,6,29,1836090,214,214,1200,33,1200,283957,0,13,9100,206000,3000,36440,218100,65857,12776,219079,2000000,,
WithLoan,45,6,29,1913773,214,214,1200,30,1200,293783,4000,13,9100,203000,0,33165,216100,77683,12601,231680,2000000,,
WithLoan,46,6,29,2193652,214,214,1200,25,1200,288979,0,13,9100,0,0,34700,9100,279879,12758,244438,2000000,,
WithLoan,47,6,30,2477139,214,214,1200,20,1200,292587,0,13,9100,0,0,36265,9100,283487,12778,257216,2000000,Yes,
NoLoan,1,1,2,1261,7,13,60,5,100,561,0,1,300,0,0,125,300,261,354,354,5000,,
NoLoan,2,1,3,1658,8,13,69,5,100,697,0,1,300,0,0,155,300,397,367,721,5000,,
NoLoan,3,1,4,2206,9,13,78,4,100,948,100,1,300,0,0,185,400,548,406,1127,5000,,
NoLoan,4,1,5,3157,11,13,87,8,100,1251,0,1,300,0,0,265,300,951,531,1658,5000,,
NoLoan,5,1,6,4180,11,13,96,5,100,1323,0,1,300,0,0,215,300,1023,512,2170,5000,,
NoLoan,6,1,7,5276,12,13,100,4,100,1496,100,1,300,0,0,235,400,1096,591,2761,5000,Yes,
NoLoan,7,2,7,1230,11,27,113,8,250,1704,0,5,750,0,0,260,750,954,365,3126,20000,,
NoLoan,8,2,8,2690,12,27,125,5,250,2210,0,5,750,0,0,330,750,1460,379,3505,20000,,
NoLoan,9,2,8,3851,13,27,142,4,250,2211,300,5,750,0,0,320,1050,1161,562,4067,20000,,
NoLoan,10,2,9,5624,16,27,153,8,250,2523,0,5,750,0,0,390,750,1773,470,4537,20000,,
NoLoan,11,2,9,7332,18,27,168,20,250,3458,0,5,750,0,1000,515,1750,1708,683,5220,20000,,
NoLoan,12,2,10,9346,20,27,178,19,250,3064,300,5,750,0,0,395,1050,2014,538,5758,20000,,
NoLoan,13,2,10,11409,20,27,189,15,250,2813,0,5,750,0,0,465,750,2063,552,6310,20000,,
NoLoan,14,2,10,13462,21,27,199,14,250,2803,0,5,750,0,0,485,750,2053,574,6884,20000,,
NoLoan,15,2,11,15522,23,27,206,11,250,3110,300,5,750,0,0,595,1050,2060,444,7328,20000,,
NoLoan,16,2,11,15668,27,27,218,52,250,4896,0,5,750,0,4000,700,4750,146,853,8181,20000,,
NoLoan,17,2,12,19956,27,27,230,53,250,5038,0,5,750,0,0,780,750,4288,867,9048,20000,,
NoLoan,18,2,12,24432,27,27,242,42,250,5526,300,5,750,0,0,980,1050,4476,841,9889,20000,Yes,
NoLoan,19,3,13,11711,40,59,269,33,400,8679,0,7,1400,0,0,1490,1400,7279,1866,11755,80000,,
NoLoan,20,3,13,19577,43,59,287,29,400,9266,0,7,1400,0,0,1310,1400,7866,1317,13072,80000,,
NoLoan,21,3,14,26938,43,59,306,8,400,9561,800,7,1400,0,0,1330,2200,7361,1383,14455,80000,,
NoLoan,22,3,14,34136,51,59,328,49,400,12598,0,7,1400,0,4000,2285,5400,7198,1902,16357,80000,,
NoLoan,23,3,15,46094,55,59,351,48,400,13358,0,7,1400,0,0,2625,1400,11958,2196,18553,80000,,
NoLoan,24,3,16,58181,57,59,371,37,400,14287,800,7,1400,0,0,2700,2200,12087,1949,20502,80000,,
NoLoan,25,3,16,73503,58,59,394,29,400,16722,0,7,1400,0,0,2905,1400,15322,2245,22747,80000,,
NoLoan,26,3,17,87743,59,59,400,21,400,15640,0,7,1400,0,0,2785,1400,14240,2143,24890,80000,Yes,
NoLoan,27,4,17,26675,64,93,439,18,600,24132,1500,9,2700,0,1000,4350,5200,18932,3194,28084,250000,,
NoLoan,28,4,18,49573,76,93,481,50,600,28598,0,9,2700,0,3000,5625,5700,22898,4042,32126,250000,,
NoLoan,29,4,19,80656,81,93,523,47,600,33783,0,9,2700,0,0,7095,2700,31083,4306,36432,250000,,
NoLoan,30,4,19,116928,87,93,554,38,600,40472,1500,9,2700,0,0,6200,4200,36272,3406,39838,250000,,
NoLoan,31,4,20,154802,90,93,581,29,600,40574,0,9,2700,0,0,7410,2700,37874,3053,42891,250000,,
NoLoan,32,4,20,199259,93,93,600,23,600,47157,0,9,2700,0,0,8245,2700,44457,4077,46968,250000,,
NoLoan,33,4,20,240115,93,93,600,5,600,45056,1500,9,2700,0,0,7900,4200,40856,3412,50380,250000,,
NoLoan,34,4,21,282445,93,93,600,4,600,45030,0,9,2700,0,0,7860,2700,42330,3312,53692,250000,Yes,
NoLoan,35,5,21,86196,99,129,654,18,800,59701,0,11,4950,0,1000,10945,5950,53751,5382,59074,800000,,
NoLoan,36,5,22,134843,126,129,710,125,800,74097,2500,11,4950,0,18000,13265,25450,48647,7132,66206,800000,,
NoLoan,37,5,22,209782,129,129,764,122,800,79889,0,11,4950,0,0,14270,4950,74939,7003,73209,800000,,
NoLoan,38,5,23,283344,129,129,800,102,800,78512,0,11,4950,0,0,12965,4950,73562,7010,80219,800000,,
NoLoan,39,5,23,376052,129,129,800,82,800,100158,2500,11,4950,0,0,13305,7450,92708,6945,87164,800000,,
NoLoan,40,5,24,470345,129,129,800,62,800,99243,0,11,4950,0,0,13480,4950,94293,6949,94113,800000,,
NoLoan,41,5,24,566323,129,129,800,62,800,103928,0,11,4950,0,3000,13175,7950,95978,6798,100911,800000,,
NoLoan,42,5,25,663443,129,129,800,30,800,104570,2500,11,4950,0,0,12840,7450,97120,6971,107882,800000,,
NoLoan,43,5,25,753787,129,129,800,25,800,95294,0,11,4950,0,0,10160,4950,90344,4077,111959,800000,,
NoLoan,44,5,25,850710,129,129,800,20,800,101873,0,11,4950,0,0,12115,4950,96923,5220,117179,800000,Yes,
NoLoan,45,6,25,186025,161,214,871,110,1200,160415,4000,13,9100,0,12000,18915,25100,135315,9526,126705,2000000,,
NoLoan,46,6,26,350266,172,214,944,95,1200,173341,0,13,9100,0,0,21575,9100,164241,10548,137253,2000000,,
NoLoan,47,6,26,540261,182,214,1013,79,1200,199095,0,13,9100,0,0,27410,9100,189995,10592,147845,2000000,,
NoLoan,48,6,27,740780,192,214,1085,63,1200,213619,4000,13,9100,0,0,30275,13100,200519,11553,159398,2000000,,
NoLoan,49,6,27,962861,202,214,1155,47,1200,231181,0,13,9100,0,0,30545,9100,222081,11922,171320,2000000,,
NoLoan,50,6,28,1194736,211,214,1200,36,1200,241975,0,13,9100,0,1000,35000,10100,231875,13055,184375,2000000,,
NoLoan,51,6,28,1462178,214,214,1200,15,1200,280542,4000,13,9100,0,0,36230,13100,267442,13093,197468,2000000,,
NoLoan,52,6,28,1731883,214,214,1200,12,1200,278805,0,13,9100,0,0,37645,9100,269705,13151,210619,2000000,,
NoLoan,53,6,29,2005677,214,214,1200,9,1200,282894,0,13,9100,0,0,35695,9100,273794,12570,223189,2000000,,
NoLoan,54,6,29,2284113,214,214,1200,6,1200,291536,4000,13,9100,0,0,35375,13100,278436,12826,236015,2000000,,
NoLoan,55,6,29,2565272,214,214,1200,8,1200,290259,0,13,9100,0,0,37295,9100,281159,13115,249130,2000000,,
NoLoan,56,6,30,2851353,214,214,1200,5,1200,295181,0,13,9100,0,0,35175,9100,286081,12814,261944,2000000,Yes,
