Day,Grade,StarLevel,Customers,Revenue,Expenses,Net,Money,TodayReview,CumulativeReview
1,1,2,6,482,230,252,3252,304,304
2,1,3,9,687,350,337,3589,441,745
3,1,3,9,1032,440,592,4181,428,1173
4,1,4,9,967,365,602,4783,431,1604
5,1,4,9,978,375,603,5386,442,2046
6,1,4,9,947,405,542,5928,444,2490
7,1,4,9,967,365,602,6530,432,2922
8,1,5,9,1012,375,637,7167,419,3341
9,2,5,10,1281,580,701,7868,493,3834
10,2,5,10,1287,435,852,8720,517,4351
11,2,5,10,1231,420,811,9531,516,4867
12,2,5,10,1388,590,798,10329,502,5369
13,2,6,10,1261,420,841,11170,514,5883
14,2,6,14,1881,810,1071,12241,677,6560
15,2,6,14,1885,985,900,13141,673,7233
16,2,6,14,1798,760,1038,14179,721,7954
17,2,6,14,1765,800,965,15144,685,8639
18,2,7,14,1793,945,848,15992,666,9305
19,2,7,16,3127,1095,2032,18024,811,10116
20,2,7,16,2931,1090,1841,19865,801,10917
21,2,7,16,3117,1235,1882,21747,677,11594
22,2,7,16,3051,920,2131,23878,815,12409
23,2,8,16,2873,940,1933,25811,687,13096
24,2,8,24,4551,1630,2921,28732,1176,14272
25,2,8,24,4609,1495,3114,31846,1054,15326
26,2,8,24,4545,1390,3155,35001,1236,16562
27,2,8,24,4655,1590,3065,38066,1199,17761
28,2,9,24,4541,1555,2986,41052,1153,18914
29,2,9,36,7480,2180,5300,46352,1838,20752
30,2,9,36,7469,2515,4954,51306,1727,22479
31,2,9,36,7290,2060,5230,56536,1798,24277
32,2,10,36,7195,2255,4940,61476,1828,26105
33,3,10,45,8844,3240,5604,67080,2223,28328
34,3,10,45,8626,2755,5871,72951,2309,30637
35,3,11,45,9068,2985,6083,79034,2306,32943
36,3,11,48,10117,3720,6397,85431,2351,35294
37,3,11,48,10518,3375,7143,92574,2377,37671
38,3,11,48,10055,3140,6915,99489,2411,40082
39,3,12,48,10058,3665,6393,105882,2270,42352
40,3,12,50,10916,3440,7476,113358,2536,44888
41,3,12,50,10622,3545,7077,120435,2627,47515
42,3,13,50,11496,3750,7746,128181,2478,49993
43,3,13,54,14186,3815,10371,138552,2732,52725
44,3,13,54,14549,3970,10579,149131,2734,55459
45,3,13,54,14240,4150,10090,159221,2665,58124
46,3,13,54,14705,4010,10695,169916,2778,60902
47,3,14,54,14774,3850,10924,180840,2629,63531
48,3,14,59,16549,6130,10419,191259,3037,66568
49,3,14,59,16377,6300,10077,201336,3079,69647
50,3,14,59,16256,5930,10326,211662,2974,72621
51,3,15,59,16494,6655,9839,221501,3087,75708
52,4,15,86,27326,9880,17446,238947,4432,80140
53,4,15,86,27264,9605,17659,256606,4506,84646
54,4,16,86,27064,9385,17679,274285,4669,89315
55,4,16,93,31224,10000,21224,295509,4801,94116
56,4,16,93,29843,10370,19473,314982,4741,98857
57,4,17,93,29638,10330,19308,334290,5060,103917
58,4,17,93,36442,11535,24907,359197,4573,108490
59,4,17,93,36536,11380,25156,384353,4807,113297
60,4,17,93,35681,13270,22411,406764,4840,118137
61,4,18,93,35979,11775,24204,430968,4750,122887
62,4,18,105,42003,12395,29608,460576,5377,128264
63,4,18,105,42960,13975,28985,489561,5419,133683
64,4,19,105,44171,13985,30186,519747,5481,139164
65,4,19,117,64334,15065,49269,569016,6018,145182
66,4,19,117,67409,18255,49154,618170,5764,150946
67,4,19,117,68163,17080,51083,669253,6062,157008
68,4,20,117,64840,16495,48345,717598,6228,163236
69,5,20,129,76973,21015,55958,773556,6754,169990
70,5,20,129,79590,20795,58795,832351,6453,176443
71,5,21,129,79120,19400,59720,892071,6467,182910
72,5,21,129,74238,17915,56323,948394,6568,189478
73,5,21,129,75982,18520,57462,1005856,6660,196138
74,5,22,129,76607,20970,55637,1061493,6637,202775
75,5,22,129,79172,20180,58992,1120485,6570,209345
76,5,22,129,78259,18985,59274,1179759,6595,215940
77,5,22,129,78463,17580,60883,1240642,6694,222634
78,5,23,129,79042,21200,57842,1298484,6741,229375
79,5,23,129,98134,18530,79604,1378088,6699,236074
80,5,23,129,100302,20150,80152,1458240,6859,242933
81,5,23,129,98977,21140,77837,1536077,6802,249735
82,5,24,129,96793,18755,78038,1614115,6611,256346
83,5,24,129,104011,19280,84731,1698846,6570,262916
84,5,24,129,104219,21925,82294,1781140,6609,269525
85,5,24,129,104567,19790,84777,1865917,6559,276084
86,5,25,129,104035,20755,83280,1949197,6671,282755
87,6,25,151,152078,26140,125938,2075135,8163,290918
88,6,25,151,155545,24690,130855,2205990,7666,298584
89,6,25,151,154651,24440,130211,2336201,7883,306467
90,6,26,151,150567,24895,125672,2461873,8020,314487
91,6,26,183,199433,37355,162078,2623951,9864,324351
92,6,26,183,200596,40060,160536,2784487,10168,334519
93,6,26,183,200559,40115,160444,2944931,9856,344375
94,6,27,183,200267,37090,163177,3108108,10133,354508
95,6,27,207,239647,44215,195432,3303540,11491,365999
96,6,27,207,233083,46440,186643,3490183,11611,377610
97,6,28,207,234073,45385,188688,3678871,11756,389366
98,6,28,214,283854,46970,236884,3915755,11838,401204
99,6,28,214,285485,48115,237370,4153125,11113,412317
100,6,29,214,281508,45750,235758,4388883,11549,423866
