Day,Grade,Stars,Money,Customers,MaxCustomers,基本集客度,広告ブースト,集客度上限,Revenue,Rent,StaffCount,StaffCost,LoanRepayment,Ad,Items,TotalExpenses,NetProfit,TodayReview,CumulativeReview,UpgradeCost,Upgraded,Borrowed
1,1,1,3425,10,18,60,5,100,425,0,0,0,0,0,285,0,425,503,503,6000,,
2,1,1,4270,11,18,69,5,100,845,0,0,0,0,0,435,0,845,526,1029,6000,,
3,1,2,5300,13,18,78,4,100,1080,50,0,0,0,0,555,50,1030,585,1614,6000,Yes,5700
4,2,2,1522,11,36,98,3,250,3090,0,5,400,1168,0,1305,1568,1522,565,2179,12000,,
5,2,2,3180,14,36,117,5,250,3220,0,5,400,1162,0,1460,1562,1658,688,2867,12000,,
6,2,2,6123,19,36,137,20,250,5150,150,5,400,1157,500,2070,2207,2943,984,3851,12000,,
7,2,3,11547,22,36,158,19,250,6975,0,5,400,1151,0,2810,1551,5424,1188,5039,12000,Yes,30453
8,3,3,17648,35,79,189,20,400,22690,0,7,700,4342,0,12840,5042,17648,1858,6897,80000,,
9,3,3,46226,45,79,220,44,400,34360,400,7,700,3182,1500,18890,5782,28578,2327,9224,80000,,
10,3,3,77575,50,79,251,40,400,35215,0,7,700,3166,0,19910,3866,31349,2660,11884,80000,,
11,3,3,116984,67,79,282,86,400,46760,0,7,700,3151,3500,25710,7351,39409,3494,15378,80000,,
12,3,3,163723,71,79,313,75,400,50975,400,7,700,3136,0,28650,4236,46739,3682,19060,80000,,
13,3,4,215487,79,79,346,91,400,57085,0,7,700,3121,1500,31460,5321,51764,4442,23502,80000,Yes,14513
14,4,4,77647,84,124,399,67,600,84665,0,9,1350,5668,0,44350,7018,77647,5597,29099,350000,,
15,4,4,167157,93,124,452,56,600,97290,800,9,1350,5630,0,51550,7780,89510,6259,35358,350000,,
16,4,4,256221,105,124,498,58,600,96505,0,9,1350,5591,500,50350,7441,89064,6059,41417,350000,,
17,4,4,363724,116,124,549,64,600,115905,0,9,1350,5552,1500,60850,8402,107503,7527,48944,350000,,
18,4,5,478672,122,124,599,45,600,119565,800,9,1350,2467,0,63150,4617,114948,7669,56613,350000,Yes,367328
19,5,5,135430,136,172,683,34,800,196955,0,11,2200,59325,0,100600,61525,135430,11555,68168,1000000,,
20,5,5,308597,170,172,762,106,800,237620,0,11,2200,56253,6000,119600,64453,173167,13554,81722,1000000,,
21,5,5,485764,172,172,800,98,800,236190,1200,11,2200,55623,0,123500,59023,177167,13895,95617,1000000,,
22,5,5,667111,172,172,800,68,800,238540,0,11,2200,54993,0,123800,57193,181347,14071,109688,1000000,,
23,5,5,840466,172,172,800,56,800,229920,0,11,2200,54365,0,113200,56565,173355,12656,122344,1000000,,
24,5,5,1021611,172,172,800,44,800,238280,1200,11,2200,53735,0,122500,57135,181145,13982,136326,1000000,,
25,5,6,1205571,172,172,800,47,800,239765,0,11,2200,53105,500,123800,55805,183960,13823,150149,1000000,Yes,1294429
26,6,6,287536,193,286,935,15,1200,495770,0,13,3900,204334,0,295600,208234,287536,21715,171864,4500000,,
27,6,6,713236,244,286,1069,92,1200,637960,1800,13,3900,201560,5000,374100,212260,425700,27447,199311,4500000,,
28,6,6,1220190,276,286,1200,89,1200,709640,0,13,3900,198786,0,430900,202686,506954,31019,230330,4500000,,
29,6,6,1759337,286,286,1200,73,1200,739060,0,13,3900,196013,0,441500,199913,539147,32356,262686,4500000,,
30,6,6,2312087,286,286,1200,57,1200,751690,1800,13,3900,193240,0,440500,198940,552750,31838,294524,4500000,,
31,6,6,2860371,286,286,1200,41,1200,742650,0,13,3900,190466,0,438000,194366,548284,32848,327372,4500000,,
32,6,6,3412929,286,286,1200,23,1200,744150,0,13,3900,187692,0,435000,191592,552558,32155,359527,4500000,,
33,6,6,4143869,286,286,1200,5,1200,736640,1800,13,3900,0,0,439700,5700,730940,32384,391911,4500000,,
34,6,7,4872379,286,286,1200,4,1200,732410,0,13,3900,0,0,436600,3900,728510,32097,424008,4500000,Yes,
